"RB","Species","Season","Est","CI_lower","CI_upper","N_recaptures","Method","RB_N_Hooks","Ref_area","Catch_lim"
"DC","TOP",2022,2866.09660151092,1220.63964198812,3197.29715594015,1,"Chapman",NA,NA,114.643864060437
"DC","TOP",2022,1699.08930323259,1392.50981829958,2171.90854066809,NA,"CPUE-by-seabed area",491265,"HIMI",67.9635721293035
"SIR","TOP",2022,3511.09938156562,2683.95215461668,4768.31688802291,NA,"CPUE-by-seabed area",490491,"HIMI",140.443975262625
