"RB","Species","Season","Ref_area","RefArea_seabed_area","RB_seabedarea","RB_N_Hauls","RB_N_Hooks","Est","CI_lower","CI_upper","RefArea_biomass","RefArea_CPUE","RB_CPUE","sd"
"DC","TOP",2019,"HIMI",134088.22,21535.62,77,768229,1251.58706765945,993.475740122839,1677.54023895691,31111,0.21,0.05260168269,176.098056025325
"DC","TOP",2020,"HIMI",134088.22,21535.62,205,376345,1307.54037186293,1055.06233552896,1709.90930049383,31111,0.21,0.054953287328,167.283275577369
"DC","TOP",2021,"HIMI",134088.22,21535.62,372,477803,1537.85074381949,1234.72461754063,1972.86086277966,31111,0.21,0.0646327682198327,189.271844699657
"DC","TOP",2022,"HIMI",134088.22,21535.62,467,491265,1699.08930323259,1392.50981829958,2171.90854066809,31111,0.21,0.0714093,199.550632425024
"SIR","TOP",2019,"HIMI",134088.22,14939.11,11,65627,2046.40217813732,946.227210098774,3384.87878551811,31111,0.21,0.12398302087018,744.440871485054
"SIR","TOP",2020,"HIMI",134088.22,14939.11,57,342202,3552.56616351686,2666.63293158918,4825.5250995357,31111,0.21,0.215235250186707,557.147139020323
"SIR","TOP",2022,"HIMI",134088.22,14939.11,120,490491,3511.09938156562,2683.95215461668,4768.31688802291,31111,0.21,0.21272294984467,523.43224911099
"DC","TOP",2019,"CI",46091.59,21535.62,77,768229,1544.86296864837,1275.39071628581,1916.12858939684,11000,0.175,0.05260168269,157.443568756194
"DC","TOP",2020,"CI",46091.59,21535.62,205,376345,1613.92743077894,1379.42314390681,1928.80519050763,11000,0.175,0.054953287328,140.751804300814
"DC","TOP",2021,"CI",46091.59,21535.62,372,477803,1898.20486870156,1617.28610738578,2214.72320027675,11000,0.175,0.0646327682198327,156.697873693497
"DC","TOP",2022,"CI",46091.59,21535.62,467,491265,2097.22536515118,1835.7171005819,2428.88113951265,11000,0.175,0.0714093,151.71995018089
"SIR","TOP",2019,"CI",46091.59,14939.11,11,65627,2525.9217082498,1188.8194359274,3943.90548613312,11000,0.175,0.12398302087018,883.082187550504
"SIR","TOP",2020,"CI",46091.59,14939.11,57,342202,4385.01487551622,3416.06944381228,5610.34425393701,11000,0.175,0.215235250186707,564.234718236203
"SIR","TOP",2022,"CI",46091.59,14939.11,120,490491,4333.83146405346,3489.46558349801,5440.13474845752,11000,0.175,0.21272294984467,494.96315075021
