"RB","Species","Season","Est","CI_lower","CI_upper","N_recaptures","Method","RB_N_Hooks","Ref_area","Catch_lim"
"DC","TOP",2022,2866.09660151092,1207.40785655523,3203.9250244828,1,"Chapman",NA,NA,114.643864060437
"DC","TOP",2022,1293980.42450215,1050794.82457744,1651843.89881784,NA,"CPUE-by-seabed area",491265,"HIMI",51759.2169800861
"SIR","TOP",2022,2682905.87592485,2042652.75151632,3571013.90833388,NA,"CPUE-by-seabed area",490491,"HIMI",107316.235036994
