"RB","Species","Season","Est","CI_lower","CI_upper","N_recaptures","Method","RB_N_Hooks","Ref_area","Catch_lim"
"DC","TOP",2022,2866.09660151092,1248.44894304436,3204.73744400179,1,"Chapman",NA,NA,114.643864060437
"DC","TOP",2022,1699.08930323259,1396.23245194868,2169.5344501805,NA,"CPUE-by-seabed area",491265,"HIMI",67.9635721293035
"SIR","TOP",2022,3511.09938156562,2694.0007382446,4747.86731104337,NA,"CPUE-by-seabed area",490491,"HIMI",140.443975262625
