"Management Unit","Season","Releases","Recaptures","2018","2019","2020","2021","2022","2018Used","2019Used","2020Used","2021Used","2022Used"
"DC",2021,163,"1 (Im:1)",NA,NA,NA,0,1,"F","F","F","F","T"
"DC",2022,385,"9 (Im:3|NL:2)",NA,NA,NA,NA,3,"F","F","F","F","F"
