"RB","Species","Season","Ref_area","RefArea_seabed_area","RB_seabedarea","RB_N_Hauls","RB_N_Hooks","Est","CI_lower","CI_upper","RefArea_biomass","RefArea_CPUE","RB_CPUE","sd"
"DC","TOP",2018,"HIMI",134088.22,21535.62,205,2009517,1271906.13072983,1049122.5078567,1626402.70572711,31111,0.216,54.9829563129532,148644.164784354
"DC","TOP",2019,"HIMI",134088.22,21535.62,282,768229,1268116.9801472,1035162.57643172,1597667.47803526,31111,0.216,54.8191559381344,145331.463730248
"DC","TOP",2020,"HIMI",134088.22,21535.62,410,376345,1191659.92734774,967284.583776439,1501062.47194852,31111,0.216,51.5140104621256,134179.257608528
"DC","TOP",2021,"HIMI",134088.22,21535.62,372,477803,1201199.01087104,980941.458317328,1532780.37190979,31111,0.216,51.9263734502073,139977.213041855
"DC","TOP",2022,"HIMI",134088.22,21535.62,467,491265,1293980.42450215,1050794.82457744,1651843.89881784,31111,0.216,55.9372012063453,152488.887955692
"SIR","TOP",2018,"HIMI",134088.22,14939.11,69,565120,591767.380076365,465534.024948526,891660.479876266,31111,0.216,36.8770950563583,109263.755264471
"SIR","TOP",2019,"HIMI",134088.22,14939.11,80,65627,640126.75619806,504724.812046758,983343.13717539,31111,0.216,39.8907003515264,127283.564689816
"SIR","TOP",2020,"HIMI",134088.22,14939.11,126,342202,1280238.9548034,843576.715655889,1753010.60751363,31111,0.216,79.7804935193377,226827.348147907
"SIR","TOP",2022,"HIMI",134088.22,14939.11,120,490491,2682905.87592485,2042652.75151632,3571013.90833388,31111,0.216,167.190315561117,389001.032682172
