"RB","Species","Season","Est","CI_lower","CI_upper","N_recaptures","RB_N_Hauls","Method","RB_N_Hooks","Ref_area"
"DC","TOP",2022,2866.09660151092,1207.02121534423,3192.42868314898,1,172,"Chapman",NA,NA
"DC","TOP",2018,1778.09135012736,1425.1940279713,2246.36752161698,NA,205,"CPUE-by-seabed area",2009517,"HIMI"
"DC","TOP",2019,1642.89895169855,1344.06357505817,2087.13155486975,NA,282,"CPUE-by-seabed area",768229,"HIMI"
"DC","TOP",2020,1575.61165818409,1275.027658795,1984.01349962359,NA,410,"CPUE-by-seabed area",376345,"HIMI"
"DC","TOP",2021,1537.85074381949,1238.94872282849,1969.30496670067,NA,372,"CPUE-by-seabed area",477803,"HIMI"
"DC","TOP",2022,1699.08930323259,1395.43329833976,2170.58375211008,NA,467,"CPUE-by-seabed area",491265,"HIMI"
"SIR","TOP",2018,767.555033730805,573.296468022636,1123.92912285423,NA,69,"CPUE-by-seabed area",565120,"HIMI"
"SIR","TOP",2019,908.239343024397,650.25413880317,1234.62988590199,NA,80,"CPUE-by-seabed area",65627,"HIMI"
"SIR","TOP",2020,1585.47894662481,1044.20407443516,2326.70656239699,NA,126,"CPUE-by-seabed area",342202,"HIMI"
"SIR","TOP",2022,3511.09938156562,2683.13210578963,4741.24070383532,NA,120,"CPUE-by-seabed area",490491,"HIMI"
"DC","TOP",2018,2194.73942537824,1874.49067609519,2515.36105101159,NA,205,"CPUE-by-seabed area",2009517,"CI"
"DC","TOP",2019,2027.86830999831,1754.76394078521,2322.72967411834,NA,282,"CPUE-by-seabed area",768229,"CI"
"DC","TOP",2020,1944.81404178392,1678.73238349306,2216.36682976538,NA,410,"CPUE-by-seabed area",376345,"CI"
"DC","TOP",2021,1898.20486870156,1613.12439412477,2220.8764225883,NA,372,"CPUE-by-seabed area",477803,"CI"
"DC","TOP",2022,2097.22536515118,1828.54558834663,2430.52189970794,NA,467,"CPUE-by-seabed area",491265,"CI"
"SIR","TOP",2018,947.410994129106,729.862875778501,1304.70980404537,NA,69,"CPUE-by-seabed area",565120,"CI"
"SIR","TOP",2019,1121.06090256415,834.294849258508,1397.25900035564,NA,80,"CPUE-by-seabed area",65627,"CI"
"SIR","TOP",2020,1956.99346493947,1319.96861937751,2731.87449359115,NA,126,"CPUE-by-seabed area",342202,"CI"
"SIR","TOP",2022,4333.83146405346,3480.9015392822,5492.71761954082,NA,120,"CPUE-by-seabed area",490491,"CI"
