"RB","Species","Season","Est","CI_lower","CI_upper","N_recaptures","RB_N_Hauls","Method","RB_N_Hooks","Ref_area"
"DC","TOP",2022,2866.09660151092,1248.44894304436,3204.73744400179,1,172,"Chapman",NA,NA
"DC","TOP",2018,1778.09135012736,1429.17980847133,2233.38841082333,NA,205,"CPUE-by-seabed area",2009517,"HIMI"
"DC","TOP",2019,1642.89895169855,1341.1454421809,2083.20715689761,NA,282,"CPUE-by-seabed area",768229,"HIMI"
"DC","TOP",2020,1575.61165818409,1280.10475205321,1999.06046091549,NA,410,"CPUE-by-seabed area",376345,"HIMI"
"DC","TOP",2021,1537.85074381949,1235.22418260891,1980.81847268794,NA,372,"CPUE-by-seabed area",477803,"HIMI"
"DC","TOP",2022,1699.08930323259,1396.23245194868,2169.5344501805,NA,467,"CPUE-by-seabed area",491265,"HIMI"
"SIR","TOP",2018,767.555033730805,574.0027691545,1124.48196046574,NA,69,"CPUE-by-seabed area",565120,"HIMI"
"SIR","TOP",2019,908.239343024397,648.745834082218,1222.88354962255,NA,80,"CPUE-by-seabed area",65627,"HIMI"
"SIR","TOP",2020,1585.47894662481,1043.49695274811,2307.46183571702,NA,126,"CPUE-by-seabed area",342202,"HIMI"
"SIR","TOP",2022,3511.09938156562,2694.0007382446,4747.86731104337,NA,120,"CPUE-by-seabed area",490491,"HIMI"
"DC","TOP",2018,2194.73942537824,1872.22710003072,2510.84721275988,NA,205,"CPUE-by-seabed area",2009517,"CI"
"DC","TOP",2019,2027.86830999831,1752.11791588318,2329.72378995689,NA,282,"CPUE-by-seabed area",768229,"CI"
"DC","TOP",2020,1944.81404178392,1669.85418836977,2216.30401230371,NA,410,"CPUE-by-seabed area",376345,"CI"
"DC","TOP",2021,1898.20486870156,1607.47099865497,2216.38385729387,NA,372,"CPUE-by-seabed area",477803,"CI"
"DC","TOP",2022,2097.22536515118,1841.19460387872,2430.95783947382,NA,467,"CPUE-by-seabed area",491265,"CI"
"SIR","TOP",2018,947.410994129106,732.065027740166,1301.05047843247,NA,69,"CPUE-by-seabed area",565120,"CI"
"SIR","TOP",2019,1121.06090256415,834.574869751174,1393.33032868858,NA,80,"CPUE-by-seabed area",65627,"CI"
"SIR","TOP",2020,1956.99346493947,1316.83924290145,2729.16805358351,NA,126,"CPUE-by-seabed area",342202,"CI"
"SIR","TOP",2022,4333.83146405346,3472.89178250243,5459.31755797477,NA,120,"CPUE-by-seabed area",490491,"CI"
