"RB","Species","Season","Ref_area","RefArea_seabed_area","RB_seabedarea","RB_N_Hauls","RB_N_Hooks","Est","CI_lower","CI_upper","RefArea_biomass","RefArea_CPUE","RB_CPUE","sd"
"DC","TOP",2018,"HIMI",134088.22,21535.62,205,2009517,1778.09135012736,1425.1940279713,2246.36752161698,31111,0.21,0.0747295968534907,210.711514880574
"DC","TOP",2019,"HIMI",134088.22,21535.62,282,768229,1642.89895169855,1344.06357505817,2087.13155486975,31111,0.21,0.0690477327403123,192.285855656081
"DC","TOP",2020,"HIMI",134088.22,21535.62,410,376345,1575.61165818409,1275.027658795,1984.01349962359,31111,0.21,0.0662197833678926,181.052069654406
"DC","TOP",2021,"HIMI",134088.22,21535.62,372,477803,1537.85074381949,1238.94872282849,1969.30496670067,31111,0.21,0.0646327682198327,190.024935370794
"DC","TOP",2022,"HIMI",134088.22,21535.62,467,491265,1699.08930323259,1395.43329833976,2170.58375211008,31111,0.21,0.0714093,198.844500718588
"SIR","TOP",2018,"HIMI",134088.22,14939.11,69,565120,767.555033730805,573.296468022636,1123.92912285423,31111,0.21,0.0465029761904762,143.848155973359
"SIR","TOP",2019,"HIMI",134088.22,14939.11,80,65627,908.239343024397,650.25413880317,1234.62988590199,31111,0.21,0.055026455026455,151.723493334131
"SIR","TOP",2020,"HIMI",134088.22,14939.11,126,342202,1585.47894662481,1044.20407443516,2326.70656239699,31111,0.21,0.0960575938731361,314.654506196945
"SIR","TOP",2022,"HIMI",134088.22,14939.11,120,490491,3511.09938156562,2683.13210578963,4741.24070383532,31111,0.21,0.21272294984467,526.17992266148
"DC","TOP",2018,"CI",46091.59,21535.62,205,2009517,2194.73942537824,1874.49067609519,2515.36105101159,11000,0.175,0.0747295968534907,165.347763415859
"DC","TOP",2019,"CI",46091.59,21535.62,282,768229,2027.86830999831,1754.76394078521,2322.72967411834,11000,0.175,0.0690477327403123,144.832041257762
"DC","TOP",2020,"CI",46091.59,21535.62,410,376345,1944.81404178392,1678.73238349306,2216.36682976538,11000,0.175,0.0662197833678926,137.853732383366
"DC","TOP",2021,"CI",46091.59,21535.62,372,477803,1898.20486870156,1613.12439412477,2220.8764225883,11000,0.175,0.0646327682198327,156.696946133979
"DC","TOP",2022,"CI",46091.59,21535.62,467,491265,2097.22536515118,1828.54558834663,2430.52189970794,11000,0.175,0.0714093,152.067480885417
"SIR","TOP",2018,"CI",46091.59,14939.11,69,565120,947.410994129106,729.862875778501,1304.70980404537,11000,0.175,0.0465029761904762,151.505165002131
"SIR","TOP",2019,"CI",46091.59,14939.11,80,65627,1121.06090256415,834.294849258508,1397.25900035564,11000,0.175,0.055026455026455,154.342020874215
"SIR","TOP",2020,"CI",46091.59,14939.11,126,342202,1956.99346493947,1319.96861937751,2731.87449359115,11000,0.175,0.0960575938731361,341.487622448005
"SIR","TOP",2022,"CI",46091.59,14939.11,120,490491,4333.83146405346,3480.9015392822,5492.71761954082,11000,0.175,0.21272294984467,502.983582706348
