"RB","Species","Season","Est","CI_lower","CI_upper","N_recaptures","Method","RB_N_Hooks","Ref_area","Catch_lim"
"DC","TOP",2022,2866.09660151092,1207.02121534423,3192.42868314898,1,"Chapman",NA,NA,114.643864060437
"DC","TOP",2022,1699.08930323259,1395.43329833976,2170.58375211008,NA,"CPUE-by-seabed area",491265,"HIMI",67.9635721293035
"SIR","TOP",2022,3511.09938156562,2683.13210578963,4741.24070383532,NA,"CPUE-by-seabed area",490491,"HIMI",140.443975262625
